country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES112,Lugo,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,57537,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,VOX,Voice,Vox,3218,14652,344446,183141,180145.00
Spain,ES,3,ES113,Ourense,Parliament,2019,BNG,Galician Nationalist Block,Bloque Nacionalista Galego,1011,10256,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,6397,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,CUP-PR,NA,NA,NA,0,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,EAJ-PNV,NA,NA,NA,0,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,0,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,OTHER,NA,NA,NA,1780,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,PODEMOS-EU,NA,NA,NA,13573,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,PODEMOS-IU,NA,NA,NA,0,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,67580,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,56934,360302,173598,171471.00
Spain,ES,3,ES113,Ourense,Parliament,2019,VOX,Voice,Vox,3218,13285,360302,173598,171471.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,BNG,Galician Nationalist Block,Bloque Nacionalista Galego,1011,39125,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,23984,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,CUP-PR,NA,NA,NA,0,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,EAJ-PNV,NA,NA,NA,0,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,906111,530077,522997.00
